         34239140 function calls (34182977 primitive calls) in 12.000 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   586728    0.099    0.000    0.099    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/zobrist_hash.py:24(get_piece_index)
   719952    0.092    0.000    0.092    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3806(__iter__)
   766914    0.081    0.000    0.081    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:168(square_mirror)
    39240    0.013    0.000    0.081    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:731(is_attacked_by)
   199668    0.081    0.000    0.081    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:399(between)
    56204    0.046    0.000    0.080    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:842(_set_piece_at)
    56204    0.065    0.000    0.077    0.000 /usr/lib/python3.8/typing.py:868(__new__)
   597293    0.076    0.000    0.076    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3127(clean_castling_rights)
    56204    0.071    0.000    0.071    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:1350(restore)
    96222    0.043    0.000    0.068    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:669(king)
    56204    0.066    0.000    0.066    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:1330(__init__)
    40480    0.042    0.000    0.057    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3108(is_castling)
    57444    0.034    0.000    0.051    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3518(_from_chess960)
   404854    0.047    0.000    0.047    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:158(square_rank)
   112408    0.043    0.000    0.043    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/zobrist_hash.py:123(castling_rights_arrays_different)
   100516    0.038    0.000    0.038    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/zobrist_hash.py:112(remove_special_flags)
    56203    0.024    0.000    0.037    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/transposition_table.py:66(get_node)
   505552    0.036    0.000    0.036    0.000 {method 'append' of 'list' objects}
    54525    0.024    0.000    0.035    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:1496(legal_moves)
    56204    0.034    0.000    0.034    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3083(is_zeroing)
   100516    0.026    0.000    0.026    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:659(color_at)
   104430    0.023    0.000    0.023    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:499(__bool__)
   204386    0.019    0.000    0.019    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:1789(is_variant_end)
    54525    0.016    0.000    0.016    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3698(__iter__)
     2699    0.003    0.000    0.015    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3427(_generate_evasions)
    56204    0.015    0.000    0.015    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3533(_to_chess960)
    56199    0.014    0.000    0.014    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/search_stats.py:40(inc_nodes_calculated)
    13220    0.008    0.000    0.014    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/minmax_ab_tt_id.py:19(update_best_moves)
    48105    0.013    0.000    0.013    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/search_stats.py:43(inc_nodes_evaluated)
    59065    0.013    0.000    0.013    0.000 {built-in method __new__ of type object at 0x8d0ac0}
     9486    0.011    0.000    0.011    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:1674(generate_pseudo_legal_ep)
    54525    0.011    0.000    0.011    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3688(__init__)
    56248    0.011    0.000    0.011    0.000 {built-in method time.time}
    56203    0.011    0.000    0.011    0.000 {method 'get' of 'dict' objects}
   102630    0.011    0.000    0.011    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/game_data.py:17(board)
   112417    0.011    0.000    0.011    0.000 {method 'pop' of 'list' objects}
