         37554489 function calls (37513200 primitive calls) in 12.001 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   140585    0.059    0.000    0.059    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:399(between)
   554588    0.059    0.000    0.059    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:168(square_mirror)
    69588    0.040    0.000    0.058    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:669(king)
   406381    0.055    0.000    0.055    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3127(clean_castling_rights)
    41330    0.049    0.000    0.049    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:1350(restore)
    41330    0.047    0.000    0.047    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:1330(__init__)
    22052    0.007    0.000    0.046    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:731(is_attacked_by)
    41730    0.026    0.000    0.039    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3518(_from_chess960)
   123990    0.033    0.000    0.033    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:640(piece_type_at)
   291987    0.033    0.000    0.033    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:158(square_rank)
    22452    0.024    0.000    0.032    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3108(is_castling)
    41330    0.027    0.000    0.027    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3083(is_zeroing)
    41329    0.018    0.000    0.027    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/transposition_table.py:66(get_node)
    39986    0.017    0.000    0.025    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:1496(legal_moves)
    76249    0.017    0.000    0.017    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:499(__bool__)
   148814    0.014    0.000    0.014    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:1789(is_variant_end)
     2205    0.002    0.000    0.013    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3427(_generate_evasions)
    39986    0.012    0.000    0.012    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3698(__iter__)
    41330    0.011    0.000    0.011    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3533(_to_chess960)
    10000    0.006    0.000    0.010    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/minmax_ab_tt_id.py:19(update_best_moves)
    28187    0.010    0.000    0.010    0.000 {built-in method builtins.max}
    43591    0.009    0.000    0.009    0.000 {built-in method __new__ of type object at 0x8d0ac0}
    74774    0.009    0.000    0.009    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/game_data.py:16(board)
    34788    0.009    0.000    0.009    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/search_stats.py:43(inc_nodes_evaluated)
    41326    0.009    0.000    0.009    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/search_stats.py:40(inc_nodes_calculated)
     7023    0.008    0.000    0.008    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:1674(generate_pseudo_legal_ep)
    41374    0.008    0.000    0.008    0.000 {built-in method time.time}
    82669    0.008    0.000    0.008    0.000 {method 'pop' of 'list' objects}
    39986    0.008    0.000    0.008    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3688(__init__)
    41329    0.007    0.000    0.007    0.000 {method 'get' of 'dict' objects}
     5191    0.005    0.000    0.007    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/transposition_table.py:49(insert_node)
    44916    0.005    0.000    0.005    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:154(square_file)
    41330    0.005    0.000    0.005    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/minmax_ab_tt_id.py:28(is_still_pv_line)
    41329    0.005    0.000    0.005    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/game_data.py:25(zobrist_hash)
    14735    0.005    0.000    0.005    0.000 {built-in method builtins.min}
